거래번호,거래일시,사원번호,사용처,결제수단,거래타입,총결제금액,식권결제금액,쿠폰명
202304123490893702,2023.04.12 12:53:07,262f3970573f1a762cc9f5d4,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893774,2023.04.12 12:53:10,0c7769410b0ce340d7440c9a,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893962,2023.04.12 12:53:16,63f37e84fd2c172dd923218b,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490893954,2023.04.12 12:53:16,519c35deca5538469cf3e21b,오름곰탕(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894124,2023.04.12 12:53:23,79f49d6b5ad6839fb6681ff9,(주)엔바이콘 하림닭요리,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894165,2023.04.12 12:53:24,9b089d2f3d61fcad2229cb0b,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894285,2023.04.12 12:53:29,35989bb0ed17c4aa5b79ebe9,(주)엔바이콘 판교순대,쿠폰,승인,11400,11400,넥슨코리아 식권 (월~금)
202304123490894281,2023.04.12 12:53:29,890c599edc1df6c862a7e1ed,(주)엔바이콘 하림닭요리,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894361,2023.04.12 12:53:32,43b2b41f4ce3f0716158dde1,제주은희네해장국(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894425,2023.04.12 12:53:36,eff3c7cf4c9cfd470c95c063,(주)엔바이콘 하림닭요리,쿠폰,승인,11100,11100,넥슨코리아 식권 (월~금)
2023041284250372,2023.04.12 12:53:58,0215d4df41c0ad41bdbaed39,써브웨이(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490894916,2023.04.12 12:53:58,91be1c5583f7f7fc153cbb51,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250401,2023.04.12 12:54:03,78dfabf546a5498938dc3bb1,춘업순대국과 0627 부대찌개,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490895089,2023.04.12 12:54:06,a434ec8ebb5c0b9fd70edbed,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250417,2023.04.12 12:54:10,003ce9043b6695df32dca3aa,춘업순대국과 0627 부대찌개,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490895313,2023.04.12 12:54:17,60d0a800a49deeeefc2800d0,(주)엔바이콘 판교순대,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490895526,2023.04.12 12:54:26,6308a18d695c9973d2adb21a,(주)엔바이콘 판교순대,쿠폰,승인,9000,9000,넥슨코리아 식권 (월~금)
2023041284250533,2023.04.12 12:54:41,145133f7dc6cb82b04cbca79,버거킹(판교유스페이스),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250539,2023.04.12 12:54:42,195463b2ba4ee3147ddbc760,써브웨이(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490896147,2023.04.12 12:54:53,b79b0658e6b86b8aae997efc,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250588,2023.04.12 12:54:55,d9922ec8fdf3f9dd5f4dcce9,버거킹(판교유스페이스),쿠폰,승인,11300,11300,넥슨코리아 식권 (월~금)
202304123490896404,2023.04.12 12:55:04,20cb95907bcca4a7797e807f,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490896456,2023.04.12 12:55:06,9268459feaaa2285072af422,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490896652,2023.04.12 12:55:16,7253314ad44e657a3183a996,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250683,2023.04.12 12:55:22,6b40b9c7f07b5b4e54a861fc,써브웨이(판교브릿지타워점),쿠폰,승인,10500,10500,넥슨코리아 식권 (월~금)
2023041284250695,2023.04.12 12:55:27,dfe8082c55ddebf2a95d032b,버거킹(판교유스페이스),쿠폰,승인,11700,11700,넥슨코리아 식권 (월~금)
202304123490896910,2023.04.12 12:55:27,cc9e6b7c54cd7ac3ef320ae8,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490897217,2023.04.12 12:55:39,a8f66cb12b27bbed8414cab6,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490897373,2023.04.12 12:55:47,936d42532054bccafd380b7c,중경별곡마라탕샹궈,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284250806,2023.04.12 12:55:55,a6a409199e03068d3d0254f0,써브웨이(판교테크노밸리점),쿠폰,승인,9600,9600,넥슨코리아 식권 (월~금)
2023041284250913,2023.04.12 12:56:27,121085d42cf24b6ff3e5bd53,퀴즈노스(판교테크노밸리점),쿠폰,승인,11700,11700,넥슨코리아 식권 (월~금)
2023041284250918,2023.04.12 12:56:28,33da36aa9efab6fcee060fc2,퀴즈노스(판교테크노밸리점),쿠폰,승인,11800,11800,넥슨코리아 식권 (월~금)
202304123490898326,2023.04.12 12:56:31,c2fcc26d1ad37f83da1ca2e8,조이포,쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
202304123490898629,2023.04.12 12:56:44,08e4dba402c2185cd0ad8b63,조이포,쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
2023041284250997,2023.04.12 12:56:51,bf1a5db9e9af7c0d4fbbcda4,버거킹(판교유스페이스),쿠폰,승인,10100,10100,넥슨코리아 식권 (월~금)
2023041284251003,2023.04.12 12:56:52,4fde7f90d630728358a0e5fe,버거킹(판교유스페이스),쿠폰,승인,11900,11900,넥슨코리아 식권 (월~금)
202304123490898918,2023.04.12 12:56:58,9ea3c9793ce4240a94a39b1e,조이포,쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
202304123490899225,2023.04.12 12:57:11,f51ffbf2bb0415263c0741ca,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490899402,2023.04.12 12:57:19,acd06c98377b0c10434ccfb5,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490899709,2023.04.12 12:57:34,882d0b6f23a3e41d4cf1081b,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490899906,2023.04.12 12:57:44,26769b475613c03f526bdc4b,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490899968,2023.04.12 12:57:46,aaa718879c5042a3c853643c,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490900094,2023.04.12 12:57:52,c1c202732636bae0ed1e50e4,봉추찜닭(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490900161,2023.04.12 12:57:55,a178ad949958e3f205e42df4,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251242,2023.04.12 12:57:56,fd330683b3fa7fa400093af3,써브웨이(판교테크노밸리점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251237,2023.04.12 12:57:56,67f7f33ec6c6d28b50ee499b,김밥천국,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490900250,2023.04.12 12:57:59,503921a480be4c9a60b80519,봉추찜닭(판교테크노밸리점),쿠폰,승인,9000,9000,넥슨코리아 식권 (월~금)
202304123490900291,2023.04.12 12:58:01,f83c370b4eefe516d8771267,코이라멘(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251273,2023.04.12 12:58:05,b151d60571137aa620cf0f88,김밥천국,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490900412,2023.04.12 12:58:08,0558923e44b71db9637b680b,코이라멘(판교점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251301,2023.04.12 12:58:12,91c6f89000a5da5f7a5a8b55,써브웨이(판교브릿지타워점),쿠폰,승인,9300,9300,넥슨코리아 식권 (월~금)
202304123490900532,2023.04.12 12:58:13,acec0189e5e83c88a406d7c9,토속상황삼계탕,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251306,2023.04.12 12:58:14,6633f8ee42363baea676033f,김밥천국,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251336,2023.04.12 12:58:21,1cbf14d8a8a8100f0ec3cbe5,김밥천국,쿠폰,승인,12,12,넥슨코리아 식권 (월~금)
202304123490901428,2023.04.12 12:58:55,d18902841c5b2a3637833723,(주)엔바이콘 순우가,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490901506,2023.04.12 12:58:58,5ffc8faf8928d80f66792794,일상화식,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490901691,2023.04.12 12:59:06,c48ac390071a3260c081012f,일상화식,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490901715,2023.04.12 12:59:07,36282f42270b9bd8af815f1a,(주)엔바이콘 순우가,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490901923,2023.04.12 12:59:16,682ee697e7e316537976feef,(주)엔바이콘 순우가,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251336,2023.04.12 12:59:20,1cbf14d8a8a8100f0ec3cbe5,김밥천국,쿠폰,취소,-12,-12,넥슨코리아 식권 (월~금)
202304123490902061,2023.04.12 12:59:22,3e3c8a077607342f13cbad4c,일상화식,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490902186,2023.04.12 12:59:28,901a5771799443751f10adb1,(주)엔바이콘 순우가,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251620,2023.04.12 12:59:31,1cbf14d8a8a8100f0ec3cbe5,김밥천국,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490903159,2023.04.12 13:00:10,f3c1ae87a412aab2ea281c43,일상화식,쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
202304123490903309,2023.04.12 13:00:18,3efdf467509e353f4107ceb3,일상화식,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490903368,2023.04.12 13:00:20,294ccbd4839c8a72e04c08ce,(주)엔바이콘 혼키라멘,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490903564,2023.04.12 13:00:28,a0f7f792acc454e3a71048c4,(주)엔바이콘 혼키라멘,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490903756,2023.04.12 13:00:36,c0b2aae5adc6bb91a05c3154,(주)엔바이콘 혼키라멘,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284251980,2023.04.12 13:00:57,772b6183e755f3e8d3c69164,써브웨이(판교브릿지타워점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284252129,2023.04.12 13:01:36,0db6aa309791e08554e973c1,버거킹(판교유스페이스),포인트복합결제,승인,12900,12000,넥슨코리아 식권 (월~금)
202304123490905237,2023.04.12 13:01:42,85c654539f4c57bf2ddf6a4b,서호돈가스,쿠폰,승인,11000,11000,넥슨코리아 식권 (월~금)
202304123490905540,2023.04.12 13:01:57,e8721c30b748e8728108e536,서호돈가스,쿠폰,승인,10000,10000,넥슨코리아 식권 (월~금)
202304123490906333,2023.04.12 13:02:34,d4e9cade2efcdc2e97948342,소바니우동,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490906505,2023.04.12 13:02:41,51455e7e62a98edc5aae58c6,소바니우동,쿠폰,승인,9500,9500,넥슨코리아 식권 (월~금)
202304123490906837,2023.04.12 13:02:56,517f192ed46de072535b3574,삼산회관(판교유스페이스점),쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
2023041284252495,2023.04.12 13:03:14,66e1ecd64978cdcb34c95bba,퀴즈노스(판교테크노밸리점),포인트복합결제,승인,13800,12000,넥슨코리아 식권 (월~금)
202304123490908467,2023.04.12 13:04:09,e82e571d8914401ef0f2de84,꿀돼지두루치기,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490908527,2023.04.12 13:04:12,d46842ff4410784dc9aad7a7,진차이객잔,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
202304123490908608,2023.04.12 13:04:15,740a5dacea46fd32f07bb8ed,꿀돼지두루치기,쿠폰,승인,12000,12000,넥슨코리아 식권 (월~금)
